date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:21	1952/1952	---M--	200	added ('OK')	image/gif	etag:%225c659898-7a0%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/images/dsm-squares/cart.gif?20190214043432	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/images/dsm-squares/cart13e1.gif	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:21	1886/1886	---M--	200	added ('OK')	image/gif	etag:%225c659898-75e%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/images/dsm-squares/lock.gif?20190214043432	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/images/dsm-squares/lock13e1.gif	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:22	38923/38923	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Mar%202019%2014:02:16%20GMT	http://www.cbi.org.uk/businessvoice/latest/lgbt-progress-be-proud-but-not-satisfied/	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/businessvoice/latest/lgbt-progress-be-proud-but-not-satisfied/index.html	(from http://www.cbi.org.uk/)
15:03:22	198/198	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2013%20Mar%202019%2014:02:17%20GMT	http://www.cbi.org.uk/rss/	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/rss/index.html	(from http://www.cbi.org.uk/)
15:03:22	41253/41253	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Mar%202019%2014:02:16%20GMT	http://www.cbi.org.uk/businessvoice/latest/bruce-daisley-twitter/	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/businessvoice/latest/bruce-daisley-twitter/index.html	(from http://www.cbi.org.uk/)
15:03:22	1411/1411	---M--	200	added ('OK')	image/gif	etag:%225c659898-583%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/images/dsm-squares/arrow.gif?20190214043432	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/images/dsm-squares/arrow13e1.gif	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:22	1040/1040	---M--	200	added ('OK')	image/png	etag:%225c659898-410%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/images/x.png?20190214043432	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/images/x13e1.png	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:23	169/169	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Mar%202019%2014:02:17%20GMT	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/fonts/fontawesome-webfont.eot?v=4.0.3	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/fonts/fontawesome-webfontba72.eot	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:23	63202/63202	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Mar%202019%2014:02:17%20GMT	http://www.cbi.org.uk/about/terms-conditions/	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/about/terms-conditions/index.html	(from http://www.cbi.org.uk/)
15:03:24	76241/76241	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Mar%202019%2014:02:18%20GMT	http://www.cbi.org.uk/about/privacy-policy/	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/about/privacy-policy/index.html	(from http://www.cbi.org.uk/)
